,question_num,raw_response,pred_letter,pred_idx,correct,gold_idx,valid,latency_s
0,0,D,D,3,True,3,True,41.61
1,1,C,C,2,False,3,True,21.28
2,2,D,D,3,False,5,True,14.56
3,3,C,C,2,False,3,True,17.4
4,4,D,D,3,False,7,True,24.06
5,5,D,D,3,False,1,True,26.72
6,6,B,B,1,False,3,True,13.92
7,7,E,E,4,True,4,True,16.8
8,8,E,E,4,True,4,True,19.14
9,9,D,D,3,False,4,True,19.76
10,10,A,A,0,False,3,True,15.05
11,11,A,A,0,False,1,True,13.62
12,12,A,A,0,False,3,True,24.57
13,13,A,A,0,False,4,True,19.25
14,14,A,A,0,False,3,True,12.6
15,15,D,D,3,False,4,True,23.95
16,16,B,B,1,True,1,True,19.78
17,17,C,C,2,True,2,True,10.74
18,18,C,C,2,False,3,True,13.52
19,19,A,A,0,False,5,True,22.44
20,20,C,C,2,False,6,True,26.82
21,21,D,D,3,False,4,True,23.14
22,22,D,D,3,True,3,True,17.41
23,23,B,B,1,False,7,True,27.85
24,24,B,B,1,False,4,True,19.45
25,25,E,E,4,True,4,True,21.2
26,26,B,B,1,False,4,True,26.42
27,27,B,B,1,False,4,True,25.29
28,28,B,B,1,False,7,True,26.31
29,29,A,A,0,False,2,True,13.82
30,30,A,A,0,False,5,True,16.9
31,31,A,A,0,False,4,True,20.38
32,32,B,B,1,False,4,True,18.64
33,33,B,B,1,False,4,True,14.43
34,34,D,D,3,False,5,True,17.22
35,35,D,D,3,False,4,True,27.12
36,36,C,C,2,False,4,True,26.72
37,37,D,D,3,False,4,True,26.11
38,38,D,D,3,False,4,True,16.85
39,39,A,A,0,False,4,True,16.47
40,40,C,C,2,True,2,True,14.19
41,41,B,B,1,True,1,True,13.41
42,42,E,E,4,True,4,True,23.21
43,43,B,B,1,False,4,True,19.38
44,44,C,C,2,True,2,True,17.48
45,45,D,D,3,False,7,True,20.71
46,46,A,A,0,False,5,True,21.31
47,47,B,B,1,False,2,True,11.97
48,48,C,C,2,False,3,True,19.66
49,49,D,D,3,True,3,True,15.36
50,50,A,A,0,False,3,True,18.3
51,51,A.,A,0,False,1,True,12.62
52,52,"A, B, E",A,0,False,5,True,25.6
53,53,D,D,3,False,4,True,26.42
54,54,A,A,0,False,3,True,15.97
55,55,F,F,5,True,5,True,15.06
56,56,C,C,2,True,2,True,10.85
57,57,B,B,1,False,7,True,37.68
58,58,C,C,2,False,6,True,34.62
59,59,A,A,0,False,1,True,8.79
60,60,A,A,0,False,5,True,17.14
61,61,C,C,2,False,6,True,25.46
62,62,B,B,1,True,1,True,15.04
63,63,A,A,0,False,4,True,20.27
64,64,E,E,4,True,4,True,17.92
65,65,A,A,0,False,3,True,19.25
66,66,A,A,0,False,3,True,16.49
67,67,D,D,3,True,3,True,16.29
68,68,B,B,1,False,7,True,30.82
69,69,H,H,7,True,7,True,23.1
70,70,B,B,1,False,4,True,17.4
71,71,A,A,0,False,3,True,14.07
72,72,B,B,1,True,1,True,29.28
73,73,A,A,0,False,4,True,25.05
74,74,B,B,1,False,4,True,18.06
75,75,C,C,2,False,3,True,15.77
76,76,C,C,2,False,4,True,23.97
77,77,F,F,5,True,5,True,17.09
78,78,B,B,1,False,5,True,24.17
79,79,D,D,3,True,3,True,14.09
80,80,E,E,4,False,7,True,30.55
81,81,D,D,3,True,3,True,14.87
82,82,"B, C, D",B,1,False,5,True,21.5
83,83,D,D,3,True,3,True,13.91
84,84,C,C,2,True,2,True,12.08
85,85,E,E,4,False,5,True,32.56
86,86,B,B,1,False,4,True,25.08
87,87,A,A,0,False,3,True,14.85
88,88,B,B,1,False,5,True,28.26
89,89,A,A,0,False,3,True,24.47
90,90,A,A,0,False,1,True,20.17
91,91,A,A,0,False,1,True,10.34
92,92,B,B,1,False,6,True,19.26
93,93,B,B,1,False,6,True,21.41
94,94,D,D,3,True,3,True,15.96
95,95,C,C,2,False,3,True,14.64
96,96,B,B,1,False,5,True,22.42
97,97,C,C,2,False,3,True,19.78
98,98,C,C,2,False,3,True,15.14
99,99,"A, B, C",A,0,False,5,True,25.19
100,100,A,A,0,False,5,True,27.56
101,101,A,A,0,False,6,True,38.99
102,102,E,E,4,False,6,True,20.17
103,103,B,B,1,False,6,True,22.23
104,104,G,G,6,False,1,True,28.98
105,105,E,E,4,False,7,True,22.59
106,106,A,A,0,False,5,True,16.02
107,107,C,C,2,False,4,True,18.44
108,108,B,B,1,False,4,True,16.88
109,109,D,D,3,False,6,True,23.96
110,110,C,C,2,True,2,True,25.29
111,111,D,D,3,False,4,True,20.58
112,112,C,C,2,True,2,True,11.06
113,113,A,A,0,False,2,True,13.52
114,114,B,B,1,False,6,True,19.35
115,115,A,A,0,False,2,True,14.59
116,116,B,B,1,False,5,True,18.07
117,117,D,D,3,False,4,True,18.74
118,118,B,B,1,False,3,True,18.35
119,119,A,A,0,False,3,True,19.02
120,120,C,C,2,False,3,True,20.37
121,121,C,C,2,False,5,True,21.61
122,122,A,A,0,False,4,True,20.27
123,123,A,A,0,False,3,True,23.05
124,124,B,B,1,False,3,True,17.19
125,125,C,C,2,False,4,True,26.01
126,126,E,E,4,False,5,True,21.86
