question_num,pred_letter,latency_s
550,E,2.482
551,E,1.97
552,D,2.352
553,B,2.336
554,E,3.104
555,E,2.276
556,F,2.157
557,D,2.171
558,C,2.536
559,E,1.981
560,D,1.95
561,E,3.36
562,F,2.315
563,F,2.971
564,D,2.381
565,F,2.026
566,E,2.328
567,F,2.582
568,E,2.377
569,F,1.817
570,D,2.61
571,F,2.031
572,D,1.597
573,F,2.567
574,D,1.866
575,E,2.079
576,C,2.869
577,H,3.028
578,F,2.29
579,G,2.557
580,C,2.442
581,E,1.671
582,C,2.452
583,C,3.223
584,E,2.416
585,D,1.959
586,G,2.396
587,F,2.4
588,G,1.781
589,F,2.257
590,B,2.342
591,H,2.373
592,C,2.93
593,B,1.766
594,F,2.291
595,B,2.232
596,C,1.255
597,D,3.151
598,C,1.695
599,F,2.253
600,G,2.446
601,E,2.16
602,B,1.861
603,E,2.141
604,D,2.457
605,A,4.272
606,D,2.373
607,A,2.017
608,H,2.201
609,D,1.988
610,D,1.239
611,D,2.411
612,E,2.114
613,A,1.822
614,G,1.6
615,G,1.814
616,G,1.613
617,E,2.175
618,G,1.147
619,E,1.717
620,A,4.539
621,D,1.446
622,C,1.691
623,G,2.448
624,D,1.345
625,E,1.943
626,C,3.254
627,D,1.273
628,D,1.387
629,F,2.096
630,C,1.682
631,E,2.551
632,D,2.75
633,G,2.344
634,B,1.588
635,C,2.422
636,C,1.584
637,B,2.123
638,G,1.635
639,G,2.303
640,F,1.849
641,E,2.888
642,D,2.447
643,E,1.742
644,F,4.636
645,E,2.857
646,D,2.149
647,A,1.886
648,D,1.847
649,C,1.815
650,D,3.268
651,E,1.42
652,B,1.624
653,B,1.83
654,D,2.261
655,E,1.794
656,E,1.664
657,C,1.571
658,D,1.821
659,D,1.535
660,F,2.647
661,A,2.411
662,G,1.921
663,F,1.428
664,G,1.977
665,G,2.829
666,C,2.886
667,F,1.677
668,C,2.679
669,F,2.998
670,E,3.008
671,A,2.109
672,A,4.018
673,F,1.835
674,B,2.831
675,G,1.949
676,C,2.844
677,D,1.943
678,B,1.49
679,H,1.286
680,D,1.693
681,D,2.515
682,G,2.334
683,D,2.784
684,F,1.885
685,D,1.372
686,F,2.037
687,C,1.558
688,D,1.479
689,H,1.725
690,H,2.708
691,D,2.244
692,E,1.252
693,E,2.193
694,B,2.317
695,D,2.252
696,D,2.599
697,E,2.308
698,F,2.11
699,D,2.315
700,D,1.803
701,B,2.184
702,C,1.979
703,C,3.687
704,C,2.4
705,E,1.112
706,E,1.626
707,A,2.38
708,D,1.243
