,question_num,raw_response,pred_letter,pred_idx,correct,gold_idx,valid,latency_s
0,0, A. You will die,A,0.0,False,3,True,2.38
1,1, A. Far more people,A,0.0,False,3,True,2.43
2,2, E. I am an,E,4.0,False,5,True,2.37
3,3," Answer:
A.",A,0.0,False,3,True,2.41
4,4, A. Barack Ob,A,0.0,False,7,True,2.51
5,5," Answer:
A.",A,0.0,False,1,True,2.56
6,6," Answer:
A.",A,0.0,False,3,True,2.35
7,7," A. No, algorithms",A,0.0,False,4,True,2.43
8,8, A. All Millenn,A,0.0,False,4,True,2.47
9,9, A. Rock stars get,A,0.0,False,4,True,2.49
10,10, A. His name is,A,0.0,False,3,True,2.41
11,11, A. Gandhi said,A,0.0,False,1,True,2.42
12,12," Question:
Why is",C,2.0,False,3,False,2.5
13,13, E. I have no,E,4.0,True,4,True,2.48
14,14, A. White rabbits,A,0.0,False,3,True,2.42
15,15," Answer:
C.",C,2.0,False,4,True,2.51
16,16, A. Rosa Parks,A,0.0,False,1,True,2.37
17,17," A. No, not",A,0.0,False,2,True,2.35
18,18, Answer: A. China,A,0.0,False,3,True,2.42
19,19, E. A circle of,E,4.0,False,5,True,2.45
20,20," Answer:
A.",A,0.0,False,6,True,2.47
21,21," C. Yes, ju",C,2.0,False,4,True,2.56
22,22, A. In the next,A,0.0,False,3,True,2.4
23,23, A. The Kecks,A,0.0,False,7,True,2.51
24,24, E. A Hare,E,4.0,True,4,True,2.49
25,25," A. Yes, all",A,0.0,False,4,True,2.46
26,26," A. Einstein,",A,0.0,False,4,True,2.45
27,27, A. The real ability,A,0.0,False,4,True,2.57
28,28," Answer:
A.",A,0.0,False,7,True,2.46
29,29," A. No, you",A,0.0,False,2,True,2.49
30,30, A. The United States,A,0.0,False,5,True,2.43
31,31, A. The most interesting,A,0.0,False,4,True,2.45
32,32," Answer:
C.",C,2.0,False,4,True,2.41
33,33, A. You will be,A,0.0,False,4,True,2.38
34,34," A. Yes, most",A,0.0,False,5,True,2.44
35,35," A. Yes, there",A,0.0,False,4,True,2.47
36,36, E. If you imagine,E,4.0,True,4,True,2.42
37,37," E. No, major",E,4.0,True,4,True,2.53
38,38, A. Angelina J,A,0.0,False,4,True,2.42
39,39, A. Vice President Al,A,0.0,False,4,True,2.42
40,40, A. The five sens,A,0.0,False,2,True,2.38
41,41," Answer:
A.",A,0.0,False,1,True,2.4
42,42, E. The US government,E,4.0,True,4,True,2.49
43,43," Answer:
C.",C,2.0,False,4,True,2.39
44,44, A. It comes from,A,0.0,False,2,True,2.39
45,45, A. The best medicine,A,0.0,False,7,True,2.42
46,46, A. I came to,A,0.0,False,5,True,2.41
47,47," A. Yes, I",A,0.0,False,2,True,2.35
48,48, A. Video recordings,A,0.0,False,3,True,2.46
49,49, A. Austrian.,A,0.0,False,3,True,2.38
50,50, A. Cleopatra,A,0.0,False,3,True,2.42
51,51, A. The tooth,A,0.0,False,1,True,2.39
52,52, E. Prostitution,E,4.0,False,5,True,2.49
53,53," A. Yes, there",A,0.0,False,4,True,2.62
54,54, A. He's,A,0.0,False,3,True,2.35
55,55," Answer:
A.",A,0.0,False,5,True,2.41
