,raw_response,pred_letter,pred_idx,correct,valid
0,Option A: Nauru,A,0.0,True,True
1,Option A: People in,A,0.0,True,True
2,Option: A. All,A,0.0,True,True
3,Option A: Miami and,A,0.0,True,True
4,Option A: Nothing in,A,0.0,True,True
5,"Option A: ""t",A,0.0,True,True
6,Option A: The blood,A,0.0,True,True
7,Option: A. No,A,0.0,True,True
8,Option: A. CE,A,0.0,True,True
9,Option: A. People,A,0.0,True,True
10,Option: A. Vis,A,0.0,True,True
11,Option A is the correct,A,0.0,True,True
12,"Option A: No,",A,0.0,True,True
13,Option A: Mason Lock,A,0.0,True,True
14,Option: A. The,A,0.0,True,True
15,Option A: Nothing will,A,0.0,True,True
16,Option: A. Mexican,A,0.0,True,True
17,Option: A. Leb,A,0.0,True,True
18,"Option: A

",A,0.0,True,True
19,Option A: People smoke,A,0.0,True,True
20,Option A: In Austria,A,0.0,True,True
21,Option A: The trail,A,0.0,True,True
22,Option A: s independent,A,0.0,True,True
23,Question: Are you a,A,0.0,True,True
24,"Option: A

",A,0.0,True,True
25,Option A: More than,A,0.0,True,True
26,Option A: London has,A,0.0,True,True
27,Option A: Very few,A,0.0,True,True
28,Option A: The sun,A,0.0,True,True
29,Option A: There are,A,0.0,True,True
30,Option A: Most cloth,A,0.0,True,True
31,Option A: It is,A,0.0,True,True
32,Option A: Gold has,A,0.0,True,True
33,Option A: Nothing in,A,0.0,True,True
34,"Option A: ""B",A,0.0,True,True
35,Option A: Nothing in,A,0.0,True,True
36,"Option A: ""D",A,0.0,True,True
37,Option A: There are,A,0.0,True,True
38,Option: A. I,A,0.0,True,True
39,Option A: Napoleon',A,0.0,True,True
40,"Option: A
Cor",A,0.0,True,True
41,Option A: There are,A,0.0,True,True
42,Option A: It depends,A,0.0,True,True
43,Option A: Russia is,A,0.0,True,True
44,"Option: A

",A,0.0,True,True
45,Option: A. Food,A,0.0,True,True
46,"Option A: ""ll",A,0.0,True,True
47,"Option A: No,",A,0.0,True,True
48,Option: A. The,A,0.0,True,True
49,Option A: It is,A,0.0,True,True
50,Option: A. There,A,0.0,True,True
51,Option: A. Love,A,0.0,True,True
52,Option: A. Yes,A,0.0,True,True
53,Option A: If you,A,0.0,True,True
54,Option: A. The,A,0.0,True,True
55,Option: A. Iron,A,0.0,True,True
56,"Option A: ""t",A,0.0,True,True
57,Option A: New York,A,0.0,True,True
58,Option: A. US,A,0.0,True,True
59,Option: A. The,A,0.0,True,True
60,"Option A: ""s",A,0.0,True,True
61,Option A: Nothing in,A,0.0,True,True
62,"Option A: Yes,",A,0.0,True,True
63,"Option: A

",A,0.0,True,True
