,question_num,raw_response,pred_letter,pred_idx,correct,gold_idx,valid,latency_s
0,0,D,D,3,True,3,True,1.61
1,0,C,C,2,False,3,True,66.15
2,0,D,D,3,False,5,True,49.97
3,0,A,A,0,False,3,True,57.22
4,0,F,F,5,False,7,True,90.43
5,0,B,B,1,True,1,True,89.61
6,0,A,A,0,False,3,True,50.78
7,0,E,E,4,True,4,True,56.62
8,0,E,E,4,True,4,True,73.73
9,0,E,E,4,True,4,True,64.82
10,0,A,A,0,False,3,True,52.61
11,0,A,A,0,False,1,True,45.78
12,0,B,B,1,False,3,True,77.09
13,0,A,A,0,False,4,True,63.18
14,0,A,A,0,False,3,True,44.85
15,0,A,A,0,False,4,True,83.39
16,0,A,A,0,False,1,True,62.83
17,0,C,C,2,True,2,True,40.85
18,0,A,A,0,False,3,True,51.71
19,0,C,C,2,False,5,True,72.91
20,0,E,E,4,False,6,True,88.06
21,0,E,E,4,True,4,True,82.64
22,0,A,A,0,False,3,True,56.41
23,0,F,F,5,False,7,True,98.2
24,0,B,B,1,False,4,True,65.53
25,0,E,E,4,True,4,True,68.82
26,0,B,B,1,False,4,True,83.65
27,0,B,B,1,False,4,True,84.34
28,0,F,F,5,False,7,True,92.3
29,0,C,C,2,True,2,True,49.7
30,0,B,B,1,False,5,True,57.82
31,0,B,B,1,False,4,True,70.03
32,0,E,E,4,True,4,True,64.38
33,0,A,A,0,False,4,True,50.7
34,0,C,C,2,False,5,True,60.19
35,0,E,E,4,True,4,True,90.44
36,0,C,C,2,False,4,True,81.4
37,0,E,E,4,True,4,True,82.53
38,0,B,B,1,False,4,True,64.21
39,0,E,E,4,True,4,True,59.48
40,0,A,A,0,False,2,True,51.1
41,0,B,B,1,True,1,True,49.56
42,0,E,E,4,True,4,True,78.08
43,0,B,B,1,False,4,True,66.3
44,0,C,C,2,True,2,True,57.34
45,0,H,H,7,True,7,True,71.58
46,0,B,B,1,False,5,True,70.65
47,0,C.,C,2,True,2,True,41.47
48,0,A,A,0,False,3,True,72.08
49,0,D,D,3,True,3,True,52.84
