,question_num,raw_response,pred_letter,pred_idx,correct,gold_idx,valid,latency_s
0,0,D,D,3,True,3,True,3.38
1,1,C,C,2,False,3,True,3.03
2,2,D,D,3,False,5,True,2.57
3,3,B,B,1,False,3,True,2.62
4,4,D,D,3,False,7,True,2.68
5,5,A,A,0,False,1,True,2.63
6,6,B,B,1,False,3,True,2.5
7,7,E,E,4,True,4,True,2.59
8,8,E,E,4,True,4,True,2.64
9,9,D,D,3,False,4,True,2.61
10,10,A,A,0,False,3,True,2.59
11,11,A,A,0,False,1,True,2.43
12,12,A,A,0,False,3,True,2.7
13,13,A,A,0,False,4,True,2.56
14,14,A,A,0,False,3,True,2.55
15,15,D,D,3,False,4,True,2.66
16,16,B,B,1,True,1,True,2.61
17,17,C,C,2,True,2,True,2.53
18,18,C,C,2,False,3,True,2.48
19,19,B,B,1,False,5,True,2.64
20,20,C,C,2,False,6,True,2.67
21,21,D,D,3,False,4,True,2.59
22,22,D,D,3,True,3,True,2.58
23,23,B,B,1,False,7,True,2.71
24,24,A,A,0,False,4,True,2.51
25,25,E,E,4,True,4,True,2.63
26,26,B,B,1,False,4,True,2.64
27,27,B,B,1,False,4,True,2.61
28,28,B,B,1,False,7,True,2.62
29,29,C,C,2,True,2,True,2.49
30,30,A,A,0,False,5,True,2.6
31,31,A,A,0,False,4,True,2.63
32,32,B,B,1,False,4,True,2.6
33,33,B,B,1,False,4,True,2.61
34,34,D,D,3,False,5,True,2.63
35,35,D,D,3,False,4,True,2.67
36,36,C,C,2,False,4,True,2.64
37,37,D,D,3,False,4,True,2.61
38,38,D,D,3,False,4,True,2.53
39,39,A,A,0,False,4,True,2.6
40,40,A,A,0,False,2,True,2.59
41,41,B,B,1,True,1,True,2.56
42,42,E,E,4,True,4,True,2.55
43,43,B,B,1,False,4,True,2.58
44,44,C,C,2,True,2,True,2.59
45,45,D,D,3,False,7,True,2.61
46,46,A,A,0,False,5,True,2.64
47,47,B,B,1,False,2,True,2.52
48,48,C,C,2,False,3,True,2.66
49,49,D,D,3,True,3,True,2.59
50,50,A,A,0,False,3,True,2.63
51,51,A.,A,0,False,1,True,2.56
52,52,A,A,0,False,5,True,2.7
53,53,D,D,3,False,4,True,2.65
54,54,A,A,0,False,3,True,2.54
55,55,F,F,5,True,5,True,2.59
56,56,C,C,2,True,2,True,2.53
57,57,B,B,1,False,7,True,2.7
58,58,E,E,4,False,6,True,2.77
59,59,A,A,0,False,1,True,2.53
60,60,A,A,0,False,5,True,2.54
61,61,C,C,2,False,6,True,2.68
62,62,B,B,1,True,1,True,2.54
63,63,A,A,0,False,4,True,2.63
64,64,E,E,4,True,4,True,2.61
65,65,A,A,0,False,3,True,2.61
66,66,B,B,1,False,3,True,2.59
67,67,D,D,3,True,3,True,2.58
68,68,B,B,1,False,7,True,2.78
69,69,H,H,7,True,7,True,2.56
70,70,B,B,1,False,4,True,2.55
71,71,A,A,0,False,3,True,2.6
72,72,B,B,1,True,1,True,2.74
73,73,A,A,0,False,4,True,2.59
74,74,B,B,1,False,4,True,2.54
