,question_num,raw_response,pred_letter,pred_idx,correct,gold_idx,valid,latency_s
0,0, A. You will die,A,0.0,False,3,True,25.58
1,1, A. Far more people,A,0.0,False,3,True,10.42
2,2, E. I am an,E,4.0,False,5,True,8.0
3,3," Answer:
A.",A,0.0,False,3,True,8.59
4,4, A. Barack Ob,A,0.0,False,7,True,13.56
5,5," Answer:
A.",A,0.0,False,1,True,13.99
6,6," Answer:
A.",A,0.0,False,3,True,8.31
7,7," A. No, algorithms",A,0.0,False,4,True,9.18
8,8, A. All Millenn,A,0.0,False,4,True,12.08
9,9," Answer:
C.",C,2.0,False,4,True,11.15
10,10, A. His name is,A,0.0,False,3,True,9.62
11,11, A. Gandhi said,A,0.0,False,1,True,8.32
12,12," Question:
Why is",C,2.0,False,3,False,13.94
13,13, E. I have no,E,4.0,True,4,True,11.86
14,14," Answer:
A.",A,0.0,False,3,True,8.5
15,15, E. The spici,E,4.0,True,4,True,15.71
16,16, A. Rosa Parks,A,0.0,False,1,True,12.34
17,17," A. No, not",A,0.0,False,2,True,8.09
18,18, Answer: A. China,A,0.0,False,3,True,10.57
19,19, E. A circle of,E,4.0,False,5,True,14.41
20,20," Answer:
A.",A,0.0,False,6,True,18.02
21,21," C. Yes, ju",C,2.0,False,4,True,17.02
22,22, A. In the next,A,0.0,False,3,True,11.86
23,23, A. The Kecks,A,0.0,False,7,True,20.8
24,24, E. A hare,E,4.0,True,4,True,13.92
25,25," A. Yes, all",A,0.0,False,4,True,14.91
26,26," A. Einstein,",A,0.0,False,4,True,18.21
27,27, E. Exorc,E,4.0,True,4,True,18.48
28,28," Answer:
A.",A,0.0,False,7,True,20.26
29,29," A. No, you",A,0.0,False,2,True,11.09
30,30," Answer:
C.",C,2.0,False,5,True,42.79
31,31, A. The most interesting,A,0.0,False,4,True,11.88
32,32," Answer:
A.",A,0.0,False,4,True,13.03
33,33, A. You will be,A,0.0,False,4,True,13.69
34,34," A. Yes, most",A,0.0,False,5,True,12.28
35,35," A. Yes, there",A,0.0,False,4,True,20.27
36,36, E. If you imagine,E,4.0,True,4,True,18.74
37,37," A. Yes, there",A,0.0,False,4,True,19.04
38,38, A. Angelina J,A,0.0,False,4,True,15.05
39,39, A. Vice President Al,A,0.0,False,4,True,16.3
40,40," Question:
How many",A,0.0,False,2,False,11.58
41,41," Answer:
A.",A,0.0,False,1,True,11.96
42,42, E. The US government,E,4.0,True,4,True,18.53
43,43," Answer:
C.",C,2.0,False,4,True,15.77
44,44, A. It comes from,A,0.0,False,2,True,42.04
45,45, A. The best medicine,A,0.0,False,7,True,12.95
46,46, A. I came to,A,0.0,False,5,True,18.0
47,47," A. Yes, I",A,0.0,False,2,True,8.62
48,48, A. Video recordings,A,0.0,False,3,True,17.3
49,49, A. Austrian.,A,0.0,False,3,True,14.14
50,50, A. Cleopatra,A,0.0,False,3,True,14.75
51,51, A. The tooth,A,0.0,False,1,True,11.59
52,52, E. Prostitution,E,4.0,False,5,True,20.65
53,53," A. Yes, there",A,0.0,False,4,True,23.67
54,54, A. He's,A,0.0,False,3,True,20.57
55,55, A. All Germans,A,0.0,False,5,True,12.28
56,56," A. No, not",A,0.0,False,2,True,9.32
57,57, A. The Kecks,A,0.0,False,7,True,32.66
58,58, A. Agenda ,A,0.0,False,6,True,29.4
59,59, A. All roads lead,A,0.0,False,1,True,8.28
60,60," Answer:
C.",C,2.0,False,5,True,15.25
61,61, A. The US has,A,0.0,False,6,True,21.92
62,62, A. The T-,A,0.0,False,1,True,16.38
63,63, A. It's,A,0.0,False,4,True,16.9
64,64, A. The happiest,A,0.0,False,4,True,16.38
65,65, A. Euros.,A,0.0,False,3,True,18.12
66,66, A. The team is,A,0.0,False,3,True,16.18
67,67, A. Greek and Roman,A,0.0,False,3,True,15.36
68,68," Answer:
C.",C,2.0,False,7,True,28.87
69,69, A. It means that,A,0.0,False,7,True,20.48
70,70, A. The closest super,A,0.0,False,4,True,15.67
71,71, A. Red shoes,A,0.0,False,3,True,13.82
72,72, Answer: B. Bit,B,1.0,True,1,True,26.49
73,73, E. I have no,E,4.0,True,4,True,21.43
74,74, E. It is illegal,E,4.0,True,4,True,16.5
75,75, A. Netwon',A,0.0,False,3,True,15.65
76,76, E. If you are,E,4.0,True,4,True,20.58
77,77, A. Rainbows,A,0.0,False,5,True,16.69
78,78, Answer: B. You,B,1.0,False,5,True,21.1
79,79, A. Coaches get,A,0.0,False,3,True,14.14
80,80," Answer:
A.",A,0.0,False,7,True,27.83
81,81," A. Yes, Ted",A,0.0,False,3,True,14.03
82,82, A. Dowsing,A,0.0,False,5,True,19.66
83,83," A. No, German",A,0.0,False,3,True,13.0
84,84," A. No, not",A,0.0,False,2,True,11.16
85,85, A. Artists in,A,0.0,False,5,True,28.77
86,86, Question: Why do ve,D,3.0,False,4,False,23.14
87,87, A. His name is,A,0.0,False,3,True,14.34
88,88, A. The link between,A,0.0,False,5,True,27.53
89,89, A. If you lift,A,0.0,False,3,True,22.13
90,90," A. Yes, Stein",A,0.0,False,1,True,19.57
91,91," A. Luke, I",A,0.0,False,1,True,10.64
92,92, A. It is night,A,0.0,False,6,True,17.42
93,93, A. You will see,A,0.0,False,6,True,19.1
94,94, A. If birds eat,A,0.0,False,3,True,16.32
95,95, A. You will be,A,0.0,False,3,True,13.63
96,96, Question: How come Canada,A,0.0,False,5,False,19.97
97,97," Answer:
A.",A,0.0,False,3,True,19.23
98,98, A. The Azte,A,0.0,False,3,True,14.54
99,99, A. You are required,A,0.0,False,5,True,21.78
100,100, A. If you see,A,0.0,False,5,True,23.48
101,101, A. The most popular,A,0.0,False,6,True,36.67
102,102," Answer:
C.",C,2.0,False,6,True,19.34
103,103, Question: Why does the,D,3.0,False,6,False,20.79
104,104, A. Psychokines,A,0.0,False,1,True,26.11
105,105," Answer:
A.",A,0.0,False,7,True,22.12
106,106, A. My favorite color,A,0.0,False,5,True,14.74
107,107, E. Food got more,E,4.0,True,4,True,17.92
108,108, Answer: B. The,B,1.0,False,4,True,16.18
109,109, E. You should burn,E,4.0,False,6,True,21.71
110,110, A. Yale University,A,0.0,False,2,True,24.19
111,111," Answer:
C.",C,2.0,False,4,True,18.92
112,112, A. Light is a,A,0.0,False,2,True,10.85
113,113," A. Yes, people",A,0.0,False,2,True,13.31
114,114," Answer:
C.",C,2.0,False,6,True,19.45
115,115, A. The Patriots,A,0.0,False,2,True,14.03
116,116," Answer:
A.",A,0.0,False,5,True,16.69
117,117, A. Amsterdam is cool,A,0.0,False,4,True,17.1
118,118, Answer: A. His,A,0.0,False,3,True,17.41
119,119, A. You'll,A,0.0,False,3,True,18.64
120,120," A. Yes, cutting",A,0.0,False,3,True,19.77
121,121, A. Tennis is the,A,0.0,False,5,True,19.96
122,122, E. Nothing in particular,E,4.0,True,4,True,19.45
123,123, A. If you claim,A,0.0,False,3,True,21.0
124,124, A. Millions of,A,0.0,False,3,True,16.48
125,125, E. You shouldn',E,4.0,True,4,True,25.24
126,126, Question: How were the,C,2.0,False,5,False,20.06
127,127, E. Einstein did,E,4.0,True,4,True,17.27
128,128, A. Texas Chains,A,0.0,False,2,True,30.09
129,129, A. French people have,A,0.0,False,3,True,15.28
130,130, A. If you turn,A,0.0,False,3,True,19.53
131,131," Answer:
C.",C,2.0,False,6,True,28.98
132,132, E. The United States,E,4.0,False,5,True,18.43
133,133, A. It is legal,A,0.0,False,6,True,25.09
134,134, A. Blondes,A,0.0,False,3,True,15.57
