,question_num,raw_response,pred_letter,pred_idx,correct,gold_idx,valid,latency_s
0,0,D,D,3.0,True,3,True,3.73
1,1,C,C,2.0,False,3,True,3.55
2,2,D,D,3.0,False,5,True,3.63
3,3,A,A,0.0,False,3,True,2.92
4,4,F,F,5.0,False,7,True,3.31
5,5,B,B,1.0,True,1,True,3.09
6,6,A,A,0.0,False,3,True,2.93
7,7,E,E,4.0,True,4,True,2.89
8,8,E,E,4.0,True,4,True,3.17
9,9,E,E,4.0,True,4,True,2.94
10,10,A,A,0.0,False,3,True,2.86
11,11,A,A,0.0,False,1,True,2.82
12,12,B,B,1.0,False,3,True,3.07
13,13,A,A,0.0,False,4,True,2.97
14,14,A,A,0.0,False,3,True,2.73
15,15,A,A,0.0,False,4,True,3.11
16,16,A,A,0.0,False,1,True,2.98
17,17,C,C,2.0,True,2,True,2.73
18,18,A,A,0.0,False,3,True,2.86
19,19,C,C,2.0,False,5,True,2.97
20,20,E,E,4.0,False,6,True,3.13
21,21,E,E,4.0,True,4,True,3.18
22,22,A,A,0.0,False,3,True,2.87
23,23,F,F,5.0,False,7,True,3.29
24,24,B,B,1.0,False,4,True,2.97
25,25,E,E,4.0,True,4,True,3.01
26,26,B,B,1.0,False,4,True,3.14
27,27,B,B,1.0,False,4,True,3.05
28,28,F,F,5.0,False,7,True,3.17
29,29,C,C,2.0,True,2,True,2.79
30,30,B,B,1.0,False,5,True,2.87
31,31,B,B,1.0,False,4,True,3.04
32,32,E,E,4.0,True,4,True,2.96
33,33,A,A,0.0,False,4,True,2.94
34,34,C,C,2.0,False,5,True,2.89
35,35,E,E,4.0,True,4,True,3.19
36,36,C,C,2.0,False,4,True,3.05
37,37,E,E,4.0,True,4,True,3.17
38,38,B,B,1.0,False,4,True,2.86
39,39,E,E,4.0,True,4,True,2.96
40,40,A,A,0.0,False,2,True,2.79
41,41,A,A,0.0,False,1,True,2.81
42,42,E,E,4.0,True,4,True,3.06
43,43,B,B,1.0,False,4,True,3.05
44,44,C,C,2.0,True,2,True,2.97
45,45,H,H,7.0,True,7,True,3.05
46,46,B,B,1.0,False,5,True,3.03
47,47,"C. NO, I",C,2.0,True,2,True,2.99
48,48,A,A,0.0,False,3,True,3.05
49,49,D,D,3.0,True,3,True,2.88
50,50,A.,A,0.0,False,3,True,2.96
51,51,A,A,0.0,False,1,True,2.87
52,52,E,E,4.0,False,5,True,3.08
53,53,D,D,3.0,False,4,True,3.33
54,54,A,A,0.0,False,3,True,2.9
55,55,F,F,5.0,True,5,True,2.97
56,56,C,C,2.0,True,2,True,2.67
57,57,F,F,5.0,False,7,True,3.55
58,58,G,G,6.0,True,6,True,3.33
59,59,A,A,0.0,False,1,True,2.71
60,60,B,B,1.0,False,5,True,2.85
61,61,E,E,4.0,False,6,True,3.15
62,62,"
B. THE T",B,1.0,True,1,True,2.97
63,63,A,A,0.0,False,4,True,2.98
64,64,E,E,4.0,True,4,True,2.93
65,65,A,A,0.0,False,3,True,3.05
66,66,"
A",A,0.0,False,3,True,3.02
67,67,A,A,0.0,False,3,True,2.96
68,68,F,F,5.0,False,7,True,3.44
69,69,H,H,7.0,True,7,True,3.17
70,70,B,B,1.0,False,4,True,2.85
71,71,A,A,0.0,False,3,True,2.9
